2026-06-11T08:57:18.722487265Z stderr F I0611 08:57:18.722090       1 options.go:263] external host was not specified, using 172.18.0.2
2026-06-11T08:57:18.726923584Z stderr F I0611 08:57:18.726742       1 server.go:150] Version: v1.35.5
2026-06-11T08:57:18.726951174Z stderr F I0611 08:57:18.726803       1 server.go:152] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2026-06-11T08:57:19.185274925Z stderr F W0611 08:57:19.185087       1 logging.go:55] [core] [Channel #1 SubChannel #3]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:57:19.185321676Z stderr F W0611 08:57:19.185206       1 logging.go:55] [core] [Channel #2 SubChannel #5]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
2026-06-11T08:57:19.187246541Z stderr F I0611 08:57:19.187113       1 shared_informer.go:349] "Waiting for caches to sync" controller="node_authorizer"
2026-06-11T08:57:19.193831659Z stderr F I0611 08:57:19.193694       1 shared_informer.go:370] "Waiting for caches to sync"
2026-06-11T08:57:19.197901623Z stderr F I0611 08:57:19.197774       1 plugins.go:157] Loaded 14 mutating admission controller(s) successfully in the following order: NamespaceLifecycle,LimitRanger,ServiceAccount,NodeRestriction,TaintNodesByCondition,Priority,DefaultTolerationSeconds,DefaultStorageClass,StorageObjectInUseProtection,RuntimeClass,DefaultIngressClass,PodTopologyLabels,MutatingAdmissionPolicy,MutatingAdmissionWebhook.
2026-06-11T08:57:19.197911044Z stderr F I0611 08:57:19.197810       1 plugins.go:160] Loaded 14 validating admission controller(s) successfully in the following order: LimitRanger,ServiceAccount,PodSecurity,Priority,PersistentVolumeClaimResize,RuntimeClass,CertificateApproval,CertificateSigning,ClusterTrustBundleAttest,CertificateSubjectRestriction,NodeDeclaredFeatureValidator,ValidatingAdmissionPolicy,ValidatingAdmissionWebhook,ResourceQuota.
2026-06-11T08:57:19.198198247Z stderr F I0611 08:57:19.198103       1 instance.go:240] Using reconciler: lease
2026-06-11T08:57:19.199615286Z stderr F W0611 08:57:19.199496       1 logging.go:55] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
